2A	Eventual	0ms	0.848	0.792	95.864	0	2	PUT succeeded with replica3 down
2B	Strong	0ms	4.132	0.682	75.015	0	2	PUT succeeded with 2-of-3 majority
2C	Strong	0ms	1.716	N/A	N/A	0	0	PUT rejected without majority (HTTP 503)
